variant_name,layer_index,probe_name,rank,num_parameters,train_accuracy,test_accuracy
pretrained,0,query_only,64,642,0.5,0.5
pretrained,0,exact,64,49282,0.6658333333333334,0.6041666666666666
pretrained,0,pairwise,64,401730,0.8608333333333333,0.6597222222222222
pretrained,0,triadic,75,403502,0.9841666666666666,0.6805555555555556
pretrained,1,query_only,64,642,0.5,0.5
pretrained,1,exact,64,49282,0.8908333333333334,0.7152777777777778
pretrained,1,pairwise,64,401730,0.995,0.7847222222222222
pretrained,1,triadic,75,403502,0.9925,0.7569444444444444
pretrained,2,query_only,64,642,0.5,0.5
pretrained,2,exact,64,49282,0.9433333333333334,0.7430555555555556
pretrained,2,pairwise,64,401730,0.9975,0.8333333333333334
pretrained,2,triadic,75,403502,0.9916666666666667,0.75
pretrained,3,query_only,64,642,0.5,0.5
pretrained,3,exact,64,49282,0.9591666666666666,0.8611111111111112
pretrained,3,pairwise,64,401730,0.985,0.9097222222222222
pretrained,3,triadic,75,403502,0.9958333333333333,0.8680555555555556
pretrained,4,query_only,64,642,0.5,0.5
pretrained,4,exact,64,49282,0.9991666666666666,0.8472222222222222
pretrained,4,pairwise,64,401730,0.9941666666666666,0.9375
pretrained,4,triadic,75,403502,0.9975,0.9097222222222222
pretrained,5,query_only,64,642,0.5,0.5
pretrained,5,exact,64,49282,0.9966666666666667,0.875
pretrained,5,pairwise,64,401730,0.9933333333333333,0.8541666666666666
pretrained,5,triadic,75,403502,0.9983333333333333,0.9027777777777778
pretrained,6,query_only,64,642,0.5,0.5
pretrained,6,exact,64,49282,0.9925,0.8194444444444444
pretrained,6,pairwise,64,401730,0.9983333333333333,0.8888888888888888
pretrained,6,triadic,75,403502,0.9958333333333333,0.8541666666666666
pretrained,7,query_only,64,642,0.5,0.5
pretrained,7,exact,64,49282,1.0,0.8958333333333334
pretrained,7,pairwise,64,401730,0.9983333333333333,0.8958333333333334
pretrained,7,triadic,75,403502,0.9975,0.9027777777777778
pretrained,8,query_only,64,642,0.5,0.5
pretrained,8,exact,64,49282,1.0,0.8402777777777778
pretrained,8,pairwise,64,401730,0.9966666666666667,0.875
pretrained,8,triadic,75,403502,0.995,0.8888888888888888
pretrained,9,query_only,64,642,0.5,0.5
pretrained,9,exact,64,49282,1.0,0.8263888888888888
pretrained,9,pairwise,64,401730,0.9483333333333334,0.8333333333333334
pretrained,9,triadic,75,403502,0.9983333333333333,0.8611111111111112
pretrained,10,query_only,64,642,0.5,0.5
pretrained,10,exact,64,49282,1.0,0.7638888888888888
pretrained,10,pairwise,64,401730,0.9991666666666666,0.7986111111111112
pretrained,10,triadic,75,403502,0.9991666666666666,0.8263888888888888
pretrained,11,query_only,64,642,0.5,0.5
pretrained,11,exact,64,49282,1.0,0.7986111111111112
pretrained,11,pairwise,64,401730,1.0,0.8125
pretrained,11,triadic,75,403502,1.0,0.8194444444444444
pretrained,12,query_only,64,642,0.5,0.5
pretrained,12,exact,64,49282,0.9983333333333333,0.875
pretrained,12,pairwise,64,401730,0.9866666666666667,0.8263888888888888
pretrained,12,triadic,75,403502,0.9991666666666666,0.8333333333333334
random_control,0,query_only,64,642,0.5,0.5
random_control,0,exact,64,49282,0.6858333333333333,0.6805555555555556
random_control,0,pairwise,64,401730,0.9466666666666667,0.7083333333333334
random_control,0,triadic,75,403502,0.9883333333333333,0.6805555555555556
random_control,1,query_only,64,642,0.5,0.5
random_control,1,exact,64,49282,0.6991666666666667,0.6319444444444444
random_control,1,pairwise,64,401730,0.9708333333333333,0.6944444444444444
random_control,1,triadic,75,403502,0.995,0.7152777777777778
random_control,2,query_only,64,642,0.5,0.5
random_control,2,exact,64,49282,0.7141666666666666,0.6388888888888888
random_control,2,pairwise,64,401730,0.9891666666666666,0.7013888888888888
random_control,2,triadic,75,403502,0.9958333333333333,0.7222222222222222
random_control,3,query_only,64,642,0.5,0.5
random_control,3,exact,64,49282,0.7133333333333334,0.6666666666666666
random_control,3,pairwise,64,401730,1.0,0.7291666666666666
random_control,3,triadic,75,403502,0.9983333333333333,0.7361111111111112
random_control,4,query_only,64,642,0.5,0.5
random_control,4,exact,64,49282,0.7191666666666666,0.6527777777777778
random_control,4,pairwise,64,401730,1.0,0.7430555555555556
random_control,4,triadic,75,403502,0.9991666666666666,0.7291666666666666
random_control,5,query_only,64,642,0.5,0.5
random_control,5,exact,64,49282,0.7175,0.625
random_control,5,pairwise,64,401730,1.0,0.7361111111111112
random_control,5,triadic,75,403502,0.9683333333333334,0.6666666666666666
random_control,6,query_only,64,642,0.5,0.5
random_control,6,exact,64,49282,0.7275,0.6458333333333334
random_control,6,pairwise,64,401730,1.0,0.7361111111111112
random_control,6,triadic,75,403502,1.0,0.75
random_control,7,query_only,64,642,0.5,0.5
random_control,7,exact,64,49282,0.7383333333333333,0.6319444444444444
random_control,7,pairwise,64,401730,1.0,0.7152777777777778
random_control,7,triadic,75,403502,0.9991666666666666,0.6875
random_control,8,query_only,64,642,0.5,0.5
random_control,8,exact,64,49282,0.7625,0.6458333333333334
random_control,8,pairwise,64,401730,1.0,0.7638888888888888
random_control,8,triadic,75,403502,1.0,0.7986111111111112
random_control,9,query_only,64,642,0.5,0.5
random_control,9,exact,64,49282,0.785,0.625
random_control,9,pairwise,64,401730,1.0,0.75
random_control,9,triadic,75,403502,1.0,0.8055555555555556
random_control,10,query_only,64,642,0.5,0.5
random_control,10,exact,64,49282,0.7958333333333333,0.6319444444444444
random_control,10,pairwise,64,401730,1.0,0.7569444444444444
random_control,10,triadic,75,403502,1.0,0.7222222222222222
random_control,11,query_only,64,642,0.5,0.5
random_control,11,exact,64,49282,0.8066666666666666,0.6597222222222222
random_control,11,pairwise,64,401730,1.0,0.75
random_control,11,triadic,75,403502,1.0,0.7638888888888888
random_control,12,query_only,64,642,0.5,0.5
random_control,12,exact,64,49282,0.8216666666666667,0.6111111111111112
random_control,12,pairwise,64,401730,1.0,0.7986111111111112
random_control,12,triadic,75,403502,1.0,0.7986111111111112
