run_seed,variant_name,layer_index,probe_name,probe_family,rank,num_parameters,train_accuracy,test_accuracy,test_accuracy_polarity_invariant
19,pretrained,0,query_only,query_only,64,1538,0.5,0.5,0.5
19,pretrained,0,exact_r1,exact,1,776,0.5183333333333333,0.5,0.5
19,pretrained,0,exact_r2,exact,2,1550,0.5591666666666667,0.5138888888888888,0.5138888888888888
19,pretrained,0,exact_r4,exact,4,3098,0.5483333333333333,0.5208333333333334,0.5208333333333334
19,pretrained,0,exact_r8,exact,8,6194,0.5525,0.5208333333333334,0.5208333333333334
19,pretrained,0,exact_r16,exact,16,12386,0.56,0.5069444444444444,0.5069444444444444
19,pretrained,0,exact_r64,exact,64,49538,0.5558333333333333,0.4513888888888889,0.5486111111111112
19,pretrained,0,pairwise,pairwise,64,401986,0.82,0.5763888888888888,0.5763888888888888
19,pretrained,0,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,0.925,0.4652777777777778,0.5347222222222222
19,pretrained,0,triadic,triadic,87,401246,0.95,0.5069444444444444,0.5069444444444444
19,pretrained,1,query_only,query_only,64,1538,0.5,0.5,0.5
19,pretrained,1,exact_r1,exact,1,776,0.585,0.4791666666666667,0.5208333333333333
19,pretrained,1,exact_r2,exact,2,1550,0.5858333333333333,0.5138888888888888,0.5138888888888888
19,pretrained,1,exact_r4,exact,4,3098,0.5933333333333334,0.5555555555555556,0.5555555555555556
19,pretrained,1,exact_r8,exact,8,6194,0.6158333333333333,0.5138888888888888,0.5138888888888888
19,pretrained,1,exact_r16,exact,16,12386,0.6116666666666667,0.4930555555555556,0.5069444444444444
19,pretrained,1,exact_r64,exact,64,49538,0.6016666666666667,0.5277777777777778,0.5277777777777778
19,pretrained,1,pairwise,pairwise,64,401986,0.8933333333333333,0.5416666666666666,0.5416666666666666
19,pretrained,1,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,0.9608333333333333,0.5277777777777778,0.5277777777777778
19,pretrained,1,triadic,triadic,87,401246,0.9716666666666667,0.4930555555555556,0.5069444444444444
19,pretrained,2,query_only,query_only,64,1538,0.5,0.5,0.5
19,pretrained,2,exact_r1,exact,1,776,0.5633333333333334,0.5555555555555556,0.5555555555555556
19,pretrained,2,exact_r2,exact,2,1550,0.6133333333333333,0.5277777777777778,0.5277777777777778
19,pretrained,2,exact_r4,exact,4,3098,0.6233333333333333,0.5,0.5
19,pretrained,2,exact_r8,exact,8,6194,0.6316666666666667,0.5416666666666666,0.5416666666666666
19,pretrained,2,exact_r16,exact,16,12386,0.6258333333333334,0.5277777777777778,0.5277777777777778
19,pretrained,2,exact_r64,exact,64,49538,0.6108333333333333,0.5208333333333334,0.5208333333333334
19,pretrained,2,pairwise,pairwise,64,401986,0.9275,0.5277777777777778,0.5277777777777778
19,pretrained,2,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,0.9625,0.4791666666666667,0.5208333333333333
19,pretrained,2,triadic,triadic,87,401246,0.9758333333333333,0.4652777777777778,0.5347222222222222
19,pretrained,3,query_only,query_only,64,1538,0.5,0.5,0.5
19,pretrained,3,exact_r1,exact,1,776,0.5425,0.4305555555555556,0.5694444444444444
19,pretrained,3,exact_r2,exact,2,1550,0.6433333333333333,0.5347222222222222,0.5347222222222222
19,pretrained,3,exact_r4,exact,4,3098,0.6341666666666667,0.5347222222222222,0.5347222222222222
19,pretrained,3,exact_r8,exact,8,6194,0.6416666666666667,0.5486111111111112,0.5486111111111112
19,pretrained,3,exact_r16,exact,16,12386,0.6408333333333334,0.5486111111111112,0.5486111111111112
19,pretrained,3,exact_r64,exact,64,49538,0.635,0.5347222222222222,0.5347222222222222
19,pretrained,3,pairwise,pairwise,64,401986,0.975,0.4930555555555556,0.5069444444444444
19,pretrained,3,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,0.9908333333333333,0.5972222222222222,0.5972222222222222
19,pretrained,3,triadic,triadic,87,401246,0.9791666666666666,0.5208333333333334,0.5208333333333334
19,pretrained,4,query_only,query_only,64,1538,0.5,0.5,0.5
19,pretrained,4,exact_r1,exact,1,776,0.6016666666666667,0.5,0.5
19,pretrained,4,exact_r2,exact,2,1550,0.6183333333333333,0.5555555555555556,0.5555555555555556
19,pretrained,4,exact_r4,exact,4,3098,0.6283333333333333,0.5069444444444444,0.5069444444444444
19,pretrained,4,exact_r8,exact,8,6194,0.6366666666666667,0.5069444444444444,0.5069444444444444
